text_raw,text_clean,intent,category,emotion,emotion_score,confidence_label,source,language,multi_category,alt_category,created_at
movie night,movie night,entertainment,entertainment,stress,-0.47,0.95,sms,hinglish,False,,2024-11-07
exam registration,exam registration,education,education,neutral,0.12,0.88,sms,hinglish,False,,2024-12-08
cat food purchase,cat food purchase,pet_care,pet_supplies,anxiety,-0.81,0.99,manual,hinglish,False,,2024-07-14
weekend outing,weekend outing,entertainment,entertainment,stress,-0.58,0.98,sms,hinglish,False,,2024-03-03
junk food again 😐,junk food again,food_order,groceries,neutral,0.03,0.84,sms,english,False,,2024-10-20
health checkup,health checkup,health,medical,anxiety,-0.8,0.94,sms,hinglish,False,,2024-09-13
ordered food again 😩,ordered food again,food_order,dining,casual,0.24,0.9,sms,english,False,,2024-03-08
health checkup,health checkup,health,medical,care,0.43,0.86,manual,hinglish,False,,2025-03-18
cloud storage plan,cloud storage plan,subscription,subscription,neutral,0.1,0.86,manual,hinglish,False,,2025-03-30
engine oil change,engine oil change,vehicle_maintenance,fuel,impulsive,-0.33,0.9,manual,english,False,,2024-03-25
engine oil change,engine oil change,vehicle_maintenance,fuel,regret,-0.52,0.86,manual,english,False,,2024-09-27
doctor visit,doctor visit,health,medical,regret,-0.57,0.89,sms,english,False,,2025-02-12
junk food again 😐,junk food again,food_order,groceries,impulsive,-0.38,0.9,manual,english,False,,2024-04-09
ordered food again 😩,ordered food again,food_order,dining,regret,-0.62,0.82,sms,english,False,,2024-07-30
food delivery after work,food delivery after work,food_order,dining,impulsive,-0.39,0.85,sms,hinglish,False,,2024-02-27
bought clothes online,bought clothes online,shopping,shopping,care,0.34,0.89,sms,hinglish,False,,2024-09-18
netflix renewal,netflix renewal,subscription,subscription,impulsive,-0.25,0.9,sms,english,False,,2024-01-22
doctor visit,doctor visit,health,medical,stress,-0.56,0.97,manual,hinglish,False,,2024-10-09
cloud storage plan,cloud storage plan,subscription,subscription,happy,0.59,0.98,manual,hinglish,False,,2024-02-24
took rapido bike,took rapido bike,commute,cab,impulsive,-0.37,0.97,manual,english,False,,2024-03-12
ola cab to office,ola cab to office,commute,fuel,neutral,-0.02,0.9,manual,hinglish,False,,2025-04-24
ordered food again 😩,ordered food again,food_order,dining,stress,-0.56,0.84,manual,hinglish,False,,2024-12-08
medicines bought,medicines bought,health,medical,regret,-0.54,0.88,manual,english,False,,2024-03-14
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,impulsive,-0.29,0.83,manual,english,False,,2024-02-03
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,stress,-0.53,0.95,sms,hinglish,False,,2025-03-16
spotify subscription,spotify subscription,subscription,subscription,care,0.42,0.97,sms,hinglish,False,,2024-11-04
pet food and vet visit,pet food and vet visit,pet_care,pet_supplies,care,0.27,0.94,sms,hinglish,False,,2024-11-08
ola cab to office,ola cab to office,commute,cab,impulsive,-0.41,0.94,sms,hinglish,False,,2024-08-06
netflix renewal,netflix renewal,subscription,subscription,impulsive,-0.4,0.83,manual,english,False,,2025-04-12
dog grooming,dog grooming,pet_care,pet_supplies,casual,0.27,0.87,manual,hinglish,False,,2025-04-02
late night food craving,late night food craving,food_order,groceries,care,0.3,0.84,manual,english,False,,2024-05-13
vet consultation,vet consultation,pet_care,medical,happy,0.55,0.96,manual,hinglish,False,,2024-11-13
gaming subscription,gaming subscription,entertainment,entertainment,stress,-0.57,0.89,manual,hinglish,False,,2024-05-02
paid house rent,paid house rent,bill_payment,electricity,stress,-0.57,0.95,sms,english,False,,2024-07-18
swiggy dinner order,swiggy dinner order,food_order,dining,impulsive,-0.34,0.93,manual,hinglish,False,,2024-10-05
car service today,car service today,vehicle_maintenance,vehicle_repair,neutral,0.13,0.85,sms,english,False,,2024-04-18
gaming subscription,gaming subscription,entertainment,entertainment,stress,-0.52,0.91,manual,hinglish,False,,2025-04-04
learning platform subscription,learning platform subscription,education,education,impulsive,-0.31,0.98,manual,english,False,,2024-02-08
doctor visit,doctor visit,health,medical,happy,0.59,0.83,manual,english,False,,2025-03-13
concert ticket,concert ticket,entertainment,entertainment,impulsive,-0.32,0.93,sms,english,False,,2024-07-26
took rapido bike,took rapido bike,commute,cab,regret,-0.57,0.93,sms,hinglish,False,,2025-02-04
cloud storage plan,cloud storage plan,subscription,subscription,happy,0.63,0.85,manual,english,False,,2024-09-27
learning platform subscription,learning platform subscription,education,education,casual,0.33,0.86,sms,english,False,,2025-02-12
cat food purchase,cat food purchase,pet_care,medical,anxiety,-0.79,0.91,sms,english,False,,2024-10-15
electricity bill paid,electricity bill paid,bill_payment,electricity,care,0.37,0.9,sms,english,False,,2024-07-09
metro recharge,metro recharge,commute,cab,regret,-0.62,0.84,manual,hinglish,False,,2024-12-13
cloud storage plan,cloud storage plan,subscription,subscription,anxiety,-0.79,0.92,sms,hinglish,False,,2025-03-08
dog grooming,dog grooming,pet_care,medical,stress,-0.51,0.94,sms,english,True,pet_supplies,2024-03-14
internet bill cleared,internet bill cleared,bill_payment,electricity,stress,-0.5,0.85,manual,english,False,,2024-10-12
medicines bought,medicines bought,health,medical,anxiety,-0.79,0.99,sms,english,False,,2024-09-15
auto ride home,auto ride home,commute,fuel,anxiety,-0.79,0.93,sms,english,False,,2025-03-18
pet food and vet visit,pet food and vet visit,pet_care,medical,anxiety,-0.78,0.95,sms,hinglish,True,pet_supplies,2025-05-11
bought clothes online,bought clothes online,shopping,shopping,stress,-0.52,0.85,sms,hinglish,False,,2024-12-12
swiggy dinner order,swiggy dinner order,food_order,groceries,stress,-0.46,0.88,manual,hinglish,False,,2024-06-08
bought clothes online,bought clothes online,shopping,shopping,casual,0.35,0.82,sms,hinglish,False,,2024-09-05
medicines bought,medicines bought,health,medical,regret,-0.63,0.88,sms,english,False,,2024-07-31
weekend outing,weekend outing,entertainment,entertainment,care,0.27,0.86,manual,hinglish,False,,2024-12-20
electricity bill paid,electricity bill paid,bill_payment,electricity,casual,0.23,0.93,sms,hinglish,False,,2025-04-16
doctor visit,doctor visit,health,medical,impulsive,-0.43,0.87,sms,hinglish,False,,2024-09-16
pet food and vet visit,pet food and vet visit,pet_care,medical,care,0.29,0.82,sms,english,False,,2024-07-19
shopping mall visit,shopping mall visit,shopping,shopping,care,0.28,0.92,manual,english,False,,2024-07-03
book purchase,book purchase,education,education,stress,-0.58,0.94,manual,hinglish,False,,2024-10-12
internet bill cleared,internet bill cleared,bill_payment,electricity,anxiety,-0.69,0.9,sms,hinglish,False,,2024-08-16
weekend outing,weekend outing,entertainment,entertainment,casual,0.32,0.99,sms,hinglish,False,,2025-04-09
online course fee,online course fee,education,education,regret,-0.67,0.89,sms,hinglish,False,,2024-09-17
book purchase,book purchase,education,education,happy,0.73,0.86,sms,english,False,,2024-12-23
exam registration,exam registration,education,education,casual,0.24,0.93,manual,hinglish,False,,2024-03-10
exam registration,exam registration,education,education,stress,-0.57,0.85,manual,english,False,,2024-05-17
engine oil change,engine oil change,vehicle_maintenance,fuel,neutral,0.1,0.92,manual,english,False,,2024-01-14
pet food and vet visit,pet food and vet visit,pet_care,pet_supplies,care,0.32,0.83,sms,hinglish,True,medical,2025-04-12
mobile recharge done,mobile recharge done,bill_payment,electricity,neutral,0.08,0.89,manual,hinglish,False,,2024-03-20
paid house rent,paid house rent,bill_payment,mobile_bill,stress,-0.5,0.98,sms,hinglish,False,,2024-11-11
gaming subscription,gaming subscription,entertainment,entertainment,stress,-0.61,0.87,sms,english,False,,2024-12-10
book purchase,book purchase,education,education,stress,-0.6,0.97,manual,hinglish,False,,2024-03-01
internet bill cleared,internet bill cleared,bill_payment,rent,neutral,0.09,0.93,sms,english,False,,2024-12-08
netflix renewal,netflix renewal,subscription,subscription,impulsive,-0.29,0.86,sms,english,False,,2024-06-01
mobile recharge done,mobile recharge done,bill_payment,rent,regret,-0.7,0.94,sms,hinglish,False,,2024-02-16
clinic consultation,clinic consultation,health,medical,stress,-0.59,0.83,sms,english,False,,2024-10-05
health checkup,health checkup,health,medical,stress,-0.58,0.89,sms,hinglish,False,,2025-01-18
fuel refill before work,fuel refill before work,commute,fuel,anxiety,-0.78,0.84,sms,hinglish,False,,2025-05-13
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,casual,0.22,0.96,sms,english,False,,2024-08-17
paid house rent,paid house rent,bill_payment,electricity,stress,-0.61,0.9,manual,hinglish,False,,2024-03-14
cat food purchase,cat food purchase,pet_care,medical,stress,-0.58,0.97,sms,hinglish,False,,2025-01-28
late night food craving,late night food craving,food_order,dining,anxiety,-0.72,0.86,sms,hinglish,False,,2025-05-07
learning platform subscription,learning platform subscription,education,education,neutral,0.02,0.99,manual,english,False,,2024-01-28
car service today,car service today,vehicle_maintenance,fuel,happy,0.68,0.93,manual,english,False,,2024-03-22
internet bill cleared,internet bill cleared,bill_payment,rent,happy,0.66,0.83,sms,hinglish,False,,2024-10-15
dog grooming,dog grooming,pet_care,pet_supplies,casual,0.24,0.93,manual,hinglish,False,,2025-04-02
internet bill cleared,internet bill cleared,bill_payment,mobile_bill,happy,0.66,0.9,manual,english,False,,2024-01-21
mobile recharge done,mobile recharge done,bill_payment,mobile_bill,impulsive,-0.43,0.9,sms,english,False,,2025-04-10
impulse shopping again 😐,impulse shopping again,shopping,shopping,neutral,-0.04,0.91,sms,hinglish,False,,2024-09-02
bought clothes online,bought clothes online,shopping,shopping,impulsive,-0.35,0.86,manual,english,False,,2024-04-08
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,anxiety,-0.69,0.87,manual,english,False,,2024-05-06
pet food and vet visit,pet food and vet visit,pet_care,pet_supplies,care,0.42,0.94,sms,english,False,,2024-01-11
online course fee,online course fee,education,education,care,0.28,0.85,sms,hinglish,False,,2025-01-28
bought clothes online,bought clothes online,shopping,shopping,happy,0.67,0.87,sms,hinglish,False,,2024-09-03
vet consultation,vet consultation,pet_care,medical,stress,-0.64,0.84,sms,english,False,,2024-11-23
dog grooming,dog grooming,pet_care,medical,anxiety,-0.84,0.93,manual,hinglish,False,,2024-03-28
unplanned purchase,unplanned purchase,shopping,shopping,stress,-0.57,0.85,manual,english,False,,2024-01-03
internet bill cleared,internet bill cleared,bill_payment,electricity,neutral,0.02,0.85,sms,english,False,,2024-07-19
spotify subscription,spotify subscription,subscription,subscription,impulsive,-0.28,0.89,manual,hinglish,False,,2024-06-16
app premium plan,app premium plan,subscription,subscription,stress,-0.52,0.95,manual,english,False,,2025-02-04
clinic consultation,clinic consultation,health,medical,neutral,-0.04,0.94,manual,hinglish,False,,2024-02-18
bought clothes online,bought clothes online,shopping,shopping,regret,-0.55,0.9,manual,english,False,,2024-01-19
medicines bought,medicines bought,health,medical,stress,-0.5,0.9,manual,english,False,,2024-09-02
movie night,movie night,entertainment,entertainment,anxiety,-0.72,0.88,manual,english,False,,2025-03-21
medicines bought,medicines bought,health,medical,stress,-0.61,0.85,sms,hinglish,False,,2025-03-21
ola cab to office,ola cab to office,commute,cab,regret,-0.56,0.88,manual,english,False,,2024-07-04
netflix renewal,netflix renewal,subscription,subscription,neutral,0.09,0.94,sms,english,False,,2024-02-10
dog grooming,dog grooming,pet_care,medical,anxiety,-0.75,0.83,manual,english,False,,2025-01-28
took rapido bike,took rapido bike,commute,fuel,impulsive,-0.35,0.94,manual,english,False,,2025-01-02
dog grooming,dog grooming,pet_care,pet_supplies,stress,-0.53,0.94,sms,english,False,,2025-03-13
health checkup,health checkup,health,medical,casual,0.32,0.83,sms,hinglish,False,,2024-07-29
took rapido bike,took rapido bike,commute,cab,anxiety,-0.69,0.99,sms,hinglish,False,,2025-04-12
medicines bought,medicines bought,health,medical,stress,-0.49,0.95,sms,english,False,,2024-08-20
auto ride home,auto ride home,commute,fuel,regret,-0.62,0.94,sms,hinglish,False,,2024-06-07
app premium plan,app premium plan,subscription,subscription,casual,0.29,0.84,sms,english,False,,2025-03-29
medicines bought,medicines bought,health,medical,happy,0.71,0.83,sms,hinglish,False,,2024-11-09
paid house rent,paid house rent,bill_payment,mobile_bill,impulsive,-0.43,0.98,manual,hinglish,False,,2025-03-23
cat food purchase,cat food purchase,pet_care,medical,neutral,-0.01,0.9,manual,hinglish,False,,2024-10-04
took rapido bike,took rapido bike,commute,cab,regret,-0.6,0.94,sms,english,False,,2024-03-08
engine oil change,engine oil change,vehicle_maintenance,fuel,impulsive,-0.37,0.94,manual,english,False,,2024-08-17
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,fuel,regret,-0.54,0.87,manual,english,False,,2025-01-29
doctor visit,doctor visit,health,medical,neutral,0.02,0.96,sms,english,False,,2024-03-13
impulse shopping again 😐,impulse shopping again,shopping,shopping,stress,-0.49,0.85,manual,english,False,,2024-03-15
ate outside today,ate outside today,food_order,dining,regret,-0.51,0.93,sms,english,False,,2025-04-29
movie night,movie night,entertainment,entertainment,casual,0.32,0.99,sms,english,False,,2024-11-05
gaming subscription,gaming subscription,entertainment,entertainment,neutral,-0.02,0.97,manual,hinglish,False,,2025-02-06
swiggy dinner order,swiggy dinner order,food_order,groceries,stress,-0.53,0.95,sms,hinglish,False,,2025-04-03
internet bill cleared,internet bill cleared,bill_payment,electricity,regret,-0.56,0.97,manual,hinglish,False,,2025-03-31
ate outside today,ate outside today,food_order,dining,happy,0.74,0.93,sms,hinglish,False,,2024-01-19
impulse shopping again 😐,impulse shopping again,shopping,shopping,impulsive,-0.34,0.92,manual,english,False,,2024-06-26
bought clothes online,bought clothes online,shopping,shopping,regret,-0.67,0.89,manual,english,False,,2025-01-21
ate outside today,ate outside today,food_order,groceries,happy,0.68,0.82,sms,hinglish,False,,2024-12-07
learning platform subscription,learning platform subscription,education,education,happy,0.75,0.98,manual,english,False,,2024-07-17
fuel refill before work,fuel refill before work,commute,fuel,casual,0.19,0.94,manual,hinglish,False,,2024-12-25
mobile recharge done,mobile recharge done,bill_payment,rent,casual,0.21,0.88,sms,english,False,,2025-01-19
bike repair + fuel,bike repair + fuel,vehicle_maintenance,fuel,anxiety,-0.79,0.83,manual,hinglish,False,,2024-02-02
metro recharge,metro recharge,commute,fuel,casual,0.19,0.91,sms,english,False,,2025-04-06
paid house rent,paid house rent,bill_payment,mobile_bill,happy,0.66,0.87,manual,english,False,,2024-04-02
book purchase,book purchase,education,education,impulsive,-0.45,0.98,sms,english,False,,2024-07-31
dog grooming,dog grooming,pet_care,medical,neutral,0.13,0.88,sms,hinglish,False,,2024-07-01
netflix renewal,netflix renewal,subscription,subscription,neutral,0.08,0.93,manual,hinglish,False,,2024-10-26
car service today,car service today,vehicle_maintenance,fuel,care,0.39,0.95,manual,hinglish,False,,2024-10-14
health checkup,health checkup,health,medical,impulsive,-0.3,0.9,manual,hinglish,False,,2024-01-29
app premium plan,app premium plan,subscription,subscription,happy,0.56,0.87,manual,hinglish,False,,2024-03-04
pet food and vet visit,pet food and vet visit,pet_care,pet_supplies,care,0.38,0.86,sms,english,False,,2024-02-09
gaming subscription,gaming subscription,entertainment,entertainment,anxiety,-0.75,0.97,manual,english,False,,2024-01-31
mobile recharge done,mobile recharge done,bill_payment,electricity,neutral,0.11,0.86,manual,hinglish,False,,2024-01-19
concert ticket,concert ticket,entertainment,entertainment,stress,-0.64,0.89,manual,hinglish,False,,2024-05-01
online course fee,online course fee,education,education,casual,0.26,0.92,manual,hinglish,False,,2024-06-28
netflix renewal,netflix renewal,subscription,subscription,anxiety,-0.84,0.83,manual,hinglish,False,,2024-03-26
shopping mall visit,shopping mall visit,shopping,shopping,casual,0.27,0.89,sms,hinglish,False,,2025-02-03
vehicle servicing expense,vehicle servicing expense,vehicle_maintenance,fuel,stress,-0.46,0.84,sms,hinglish,False,,2025-04-14
cloud storage plan,cloud storage plan,subscription,subscription,impulsive,-0.38,0.88,manual,hinglish,False,,2024-11-23
metro recharge,metro recharge,commute,fuel,happy,0.62,0.94,manual,hinglish,False,,2025-02-21
ate outside today,ate outside today,food_order,dining,impulsive,-0.3,0.88,sms,hinglish,False,,2024-08-18
vet consultation,vet consultation,pet_care,medical,regret,-0.62,0.87,manual,english,False,,2024-05-01
impulse shopping again 😐,impulse shopping again,shopping,shopping,impulsive,-0.35,0.85,sms,english,False,,2025-04-19
swiggy dinner order,swiggy dinner order,food_order,groceries,neutral,-0.03,0.91,manual,hinglish,False,,2024-06-16
mobile recharge done,mobile recharge done,bill_payment,rent,casual,0.33,0.83,sms,english,False,,2025-05-11
exam registration,exam registration,education,education,anxiety,-0.67,0.91,sms,english,False,,2024-05-29
movie night,movie night,entertainment,entertainment,neutral,-0.03,0.93,manual,english,False,,2025-02-17
paid house rent,paid house rent,bill_payment,mobile_bill,casual,0.24,0.87,manual,english,False,,2024-01-06
cat food purchase,cat food purchase,pet_care,medical,care,0.33,0.9,manual,english,False,,2024-09-22
gaming subscription,gaming subscription,entertainment,entertainment,neutral,0.08,0.86,sms,hinglish,False,,2024-03-22
gaming subscription,gaming subscription,entertainment,entertainment,stress,-0.53,0.87,sms,hinglish,False,,2025-03-03
cloud storage plan,cloud storage plan,subscription,subscription,care,0.42,0.95,manual,english,False,,2025-01-03
vet consultation,vet consultation,pet_care,pet_supplies,stress,-0.64,0.84,sms,english,True,medical,2024-04-24
ola cab to office,ola cab to office,commute,cab,neutral,0.07,0.91,manual,english,False,,2024-03-07
weekend outing,weekend outing,entertainment,entertainment,regret,-0.66,0.83,sms,hinglish,False,,2024-02-07
unplanned purchase,unplanned purchase,shopping,shopping,impulsive,-0.38,0.92,manual,hinglish,False,,2024-01-31
online course fee,online course fee,education,education,happy,0.73,0.94,sms,hinglish,False,,2025-02-11
late night food craving,late night food craving,food_order,groceries,care,0.34,0.91,manual,english,False,,2025-03-08
weekend outing,weekend outing,entertainment,entertainment,stress,-0.65,0.95,manual,hinglish,False,,2024-08-21
concert ticket,concert ticket,entertainment,entertainment,anxiety,-0.69,0.88,sms,hinglish,False,,2024-11-09
app premium plan,app premium plan,subscription,subscription,happy,0.7,0.95,manual,english,False,,2024-03-22
cat food purchase,cat food purchase,pet_care,pet_supplies,anxiety,-0.65,0.87,manual,hinglish,False,,2025-01-31
exam registration,exam registration,education,education,happy,0.55,0.86,sms,english,False,,2024-02-02
weekend outing,weekend outing,entertainment,entertainment,neutral,0.08,0.91,sms,english,False,,2025-05-09
paid house rent,paid house rent,bill_payment,rent,regret,-0.61,0.94,manual,english,False,,2025-02-03
doctor visit,doctor visit,health,medical,anxiety,-0.73,0.92,sms,english,False,,2024-11-26
vet consultation,vet consultation,pet_care,pet_supplies,happy,0.7,0.86,manual,hinglish,False,,2024-03-31
cloud storage plan,cloud storage plan,subscription,subscription,happy,0.6,0.83,manual,hinglish,False,,2024-09-04
electricity bill paid,electricity bill paid,bill_payment,electricity,impulsive,-0.35,0.93,manual,hinglish,False,,2025-01-17
gaming subscription,gaming subscription,entertainment,entertainment,casual,0.32,0.87,manual,english,False,,2024-07-25
weekend outing,weekend outing,entertainment,entertainment,anxiety,-0.65,0.89,sms,hinglish,False,,2025-01-30
clinic consultation,clinic consultation,health,medical,impulsive,-0.39,0.84,sms,hinglish,False,,2024-08-13
engine oil change,engine oil change,vehicle_maintenance,fuel,anxiety,-0.65,0.84,manual,hinglish,False,,2024-07-12
food delivery after work,food delivery after work,food_order,dining,neutral,0.09,0.87,manual,english,False,,2024-04-13
learning platform subscription,learning platform subscription,education,education,regret,-0.57,0.9,manual,english,False,,2025-03-21
pet food and vet visit,pet food and vet visit,pet_care,medical,stress,-0.5,0.95,manual,hinglish,True,pet_supplies,2025-01-18
ola cab to office,ola cab to office,commute,cab,care,0.31,0.99,manual,english,False,,2024-02-17
learning platform subscription,learning platform subscription,education,education,impulsive,-0.33,0.99,manual,hinglish,False,,2024-04-11
fuel refill before work,fuel refill before work,commute,cab,regret,-0.68,0.93,sms,hinglish,False,,2024-01-22
concert ticket,concert ticket,entertainment,entertainment,impulsive,-0.38,0.92,manual,hinglish,False,,2024-10-26
internet bill cleared,internet bill cleared,bill_payment,mobile_bill,happy,0.7,0.99,sms,hinglish,False,,2024-01-30
learning platform subscription,learning platform subscription,education,education,happy,0.71,0.91,manual,english,False,,2024-03-23
gaming subscription,gaming subscription,entertainment,entertainment,stress,-0.62,0.88,sms,hinglish,False,,2024-04-26
car service today,car service today,vehicle_maintenance,vehicle_repair,happy,0.64,0.96,manual,hinglish,False,,2024-08-30
book purchase,book purchase,education,education,regret,-0.69,0.95,manual,english,False,,2025-04-23
movie night,movie night,entertainment,entertainment,anxiety,-0.74,0.91,sms,english,False,,2024-08-18
engine oil change,engine oil change,vehicle_maintenance,fuel,care,0.39,0.89,sms,hinglish,False,,2024-11-19
shopping mall visit,shopping mall visit,shopping,shopping,neutral,0.12,0.94,sms,english,False,,2024-03-13
metro recharge,metro recharge,commute,fuel,anxiety,-0.74,0.96,manual,english,False,,2024-03-25
medicines bought,medicines bought,health,medical,neutral,0.12,0.89,manual,english,False,,2024-06-26
medicines bought,medicines bought,health,medical,happy,0.66,0.93,sms,hinglish,False,,2024-10-07
bought clothes online,bought clothes online,shopping,shopping,stress,-0.6,0.98,manual,english,False,,2025-04-14
vet consultation,vet consultation,pet_care,pet_supplies,neutral,0.07,0.94,manual,english,False,,2024-11-15
concert ticket,concert ticket,entertainment,entertainment,impulsive,-0.33,0.98,manual,hinglish,False,,2024-07-04
spotify subscription,spotify subscription,subscription,subscription,neutral,0.02,0.82,manual,hinglish,False,,2024-08-07
paid house rent,paid house rent,bill_payment,electricity,impulsive,-0.41,0.84,sms,english,False,,2024-04-15
learning platform subscription,learning platform subscription,education,education,neutral,-0.03,0.93,manual,english,False,,2025-01-24
concert ticket,concert ticket,entertainment,entertainment,casual,0.24,0.95,sms,hinglish,False,,2024-04-03
car service today,car service today,vehicle_maintenance,fuel,happy,0.55,0.95,manual,hinglish,False,,2024-02-18
metro recharge,metro recharge,commute,cab,happy,0.62,0.85,manual,english,False,,2024-10-13
impulse shopping again 😐,impulse shopping again,shopping,shopping,stress,-0.55,0.93,manual,english,False,,2024-03-07
mobile recharge done,mobile recharge done,bill_payment,rent,care,0.3,0.97,sms,english,False,,2024-02-08
food delivery after work,food delivery after work,food_order,dining,anxiety,-0.65,0.94,sms,english,False,,2024-11-06
mobile recharge done,mobile recharge done,bill_payment,mobile_bill,stress,-0.47,0.89,manual,english,False,,2024-04-19
doctor visit,doctor visit,health,medical,impulsive,-0.29,0.83,manual,hinglish,False,,2025-02-09
mobile recharge done,mobile recharge done,bill_payment,electricity,regret,-0.68,0.85,sms,hinglish,False,,2025-04-23
cat food purchase,cat food purchase,pet_care,pet_supplies,casual,0.19,0.87,manual,english,False,,2025-02-08
learning platform subscription,learning platform subscription,education,education,happy,0.7,0.89,manual,hinglish,False,,2024-01-12
internet bill cleared,internet bill cleared,bill_payment,rent,stress,-0.55,0.96,sms,english,False,,2024-02-04
doctor visit,doctor visit,health,medical,regret,-0.5,0.83,sms,english,False,,2025-04-28
unplanned purchase,unplanned purchase,shopping,shopping,stress,-0.62,0.94,sms,english,False,,2024-11-09
mobile recharge done,mobile recharge done,bill_payment,electricity,care,0.33,0.95,manual,english,False,,2024-10-27
mobile recharge done,mobile recharge done,bill_payment,electricity,regret,-0.67,0.83,manual,english,False,,2024-08-17
gaming subscription,gaming subscription,entertainment,entertainment,anxiety,-0.69,0.89,manual,english,False,,2025-04-14
swiggy dinner order,swiggy dinner order,food_order,dining,care,0.42,0.9,manual,hinglish,False,,2024-03-22
junk food again 😐,junk food again,food_order,groceries,regret,-0.67,0.9,sms,hinglish,False,,2025-04-16
book purchase,book purchase,education,education,casual,0.23,0.96,sms,hinglish,False,,2024-03-16
food delivery after work,food delivery after work,food_order,dining,happy,0.61,0.88,sms,english,False,,2024-11-30
food delivery after work,food delivery after work,food_order,dining,neutral,-0.03,0.88,manual,english,False,,2024-07-07
cloud storage plan,cloud storage plan,subscription,subscription,stress,-0.47,0.83,sms,english,False,,2024-04-20
online course fee,online course fee,education,education,anxiety,-0.72,0.99,manual,english,False,,2024-09-10
mobile recharge done,mobile recharge done,bill_payment,mobile_bill,casual,0.3,0.96,manual,hinglish,False,,2024-06-29
engine oil change,engine oil change,vehicle_maintenance,vehicle_repair,casual,0.23,0.85,sms,english,False,,2024-08-30
ate outside today,ate outside today,food_order,groceries,impulsive,-0.35,0.98,sms,hinglish,False,,2024-06-11
gaming subscription,gaming subscription,entertainment,entertainment,regret,-0.7,0.83,manual,english,False,,2024-06-12
weekend outing,weekend outing,entertainment,entertainment,care,0.42,0.87,sms,english,False,,2025-01-18
book purchase,book purchase,education,education,stress,-0.62,0.9,manual,english,False,,2025-02-13
paid house rent,paid house rent,bill_payment,mobile_bill,impulsive,-0.43,0.94,sms,hinglish,False,,2025-04-27
fuel refill before work,fuel refill before work,commute,fuel,impulsive,-0.35,0.91,manual,hinglish,False,,2024-02-13
shopping mall visit,shopping mall visit,shopping,shopping,neutral,-0.04,0.83,manual,hinglish,False,,2024-03-12
vet consultation,vet consultation,pet_care,pet_supplies,stress,-0.46,0.93,sms,hinglish,False,,2024-01-08
bike repair + fuel,bike repair + fuel,vehicle_maintenance,vehicle_repair,casual,0.29,0.97,manual,english,False,,2024-03-27
shopping mall visit,shopping mall visit,shopping,shopping,casual,0.23,0.86,manual,english,False,,2024-07-22
clinic consultation,clinic consultation,health,medical,casual,0.34,0.9,manual,english,False,,2024-12-22
netflix renewal,netflix renewal,subscription,subscription,stress,-0.45,0.82,manual,english,False,,2025-04-08
car service today,car service today,vehicle_maintenance,fuel,casual,0.21,0.98,sms,hinglish,False,,2024-04-23
spotify subscription,spotify subscription,subscription,subscription,neutral,0.13,0.91,sms,english,False,,2024-12-13
